I wanna study abroad.	私は留学がしてぇ。
ASAP	なるはや
lol	（笑）
lol	笑
haha	w
It's funny lol.	それ面白いね(笑)
It's funny haha.	それ面白いねw
It's funny lol	それ面白いね(笑)
It's funny haha	それ面白いねw
It's funny.	それ面白いね
It's funny	それ面白いね
This temple is very temple	このお寺はまじ卍
very temple	まじ卍
K.	了解。
K.	わかった。
K.	OK。
4 u	あなたへ。
I'll BBL.	また後で戻るよ。
BFN	またねー
TTYL	またねー
TTYS	またねー
TT4N	またね
BFN!	またね!
TTYL!	またね!
TTYS!	またね!
TT4N	またね!
TTTT	ぶっちゃけ言うと
GB	バイバイ
Gotta Go	行かなくちゃ！
Gotcha	了解
Gz	おめでとう
Grats	おめでとう
Gratz	おめでとう
HRU	元気？
HRY	元気？
OIC	なるほど。
DUR	覚えてる？
I'm hungry AF.	超腹減った。
This anime is my fav.	このアニメはお気に入り。
This anime is my fav lol.	このアニメはお気に入り ( 笑 )
This anime is my fav haha.	このアニメはお気に入りw
Hey guise!	オッス！
Hey guys!	やぁ、みんな！
Awesome!	イケてる！
rox!	イケてる！
It's a piece of cake!	朝飯前だよ！
It's a piece of cake	余裕だよ
We are BFF!	私たちはズッ友だよ！
We're BFF!	私たちはズッ友だよ！
Hit me up later.	後で連絡して。
Just LMK if I can Halp u out.	なんかできることあれば言ってね。
It was very interesting lol.	それはとても面白かった（笑）
I'm glad if u can return as soon as possible.	なるはやで返してもらえると嬉しい。
I am glad if u can return asap.	なるはやで返してもらえると嬉しい。
I'm glad if u can return asap.	なるはやで返してもらえると嬉しい。
I wanna watch the movie w/ u.	あなたと一緒に映画を観たい。
I wanna watch the movie.	映画を観たい。
I wanna go shopping w/ u.	あなたと一緒に買い物いきたい。
I wanna go shopping.	買い物いきたい。
I wanna eat french fries.	フライドポテトを食べたい。
No way	信じられない。
No way.	信じられない。
No way!	信じられない。
thx.	ありがとう。
thnx.	ありがとう。
tx.	ありがとう。
(y)	グッ！
YW	どういたしまして。
ZOMG	なんてことだ...
AMA	何でも聞いて！
AMAA	何でも聞いて！
AYT	いる？
C'mon!	来て！
C'mon,it's okay.	大丈夫、心配ないよ。
GM	おはよー
GN	おやすみ
GN8	おやすみ
Halp	助けて...
Halp lol	助けて(笑)
halp	助けて...
halp haha	助けてw
IC	なる ほど
IC	了解
LCTC	ひさしぶり
LTNS	ひさしぶり
LTNT	ひさしぶり
nope	やだ
nope	No
yup	いい よ
Nope	やだ
Nope	No
Yup	いい よ
NP	問題ないよー
OMG	まじか
soz	ごめん
Soz	ごめん
sry	ごめん
Come w/ me.	私と来て。
Come w/ me.	私について来て。
Look closer.	よく見て。
Make a wish.	願い事をして。
Many thanks.	本当にありがとう。
May I begin?	始めていい？
Just be calm.	まあ落ち着け。
Just be cool.	まあ冷静になれよ。
Just do that.	とにかくやれよ。
Just go away.	とにかく失せろ。
Just go home.	とにかく家に帰りなさい。
Just Halp me.	ちょっと手伝って。
Just say yes.	うんと言ってよ。
Just shut up.	いいから黙って。
Just stop it.	とにかくやめろよ。
Just take it.	まあ受け取って。
Keep dancing.	踊り続けて。
Keep digging.	そのまま掘り続けて。
